group,names,scores,logfoldchanges,pvals,pvals_adj
5,Mt-cyb,13.412108,0.30164045,5.135787939217385e-41,9.878674068877156e-40
5,Fstl1,12.566222,0.8013916,3.23833738334778e-36,5.314194680365588e-35
5,Postn,12.440709,0.7309035,1.5710214088043768e-35,2.5405797973926827e-34
5,Pcolce,11.876111,0.76842207,1.575265014317759e-32,2.3200555859408e-31
5,Mt-nd1,11.678333,0.24308223,1.644895145438221e-31,2.350486161816998e-30
5,Mt-nd2,11.558596,0.15937588,6.679229364122719e-31,9.305100538936136e-30
5,Mt-nd4,11.557702,0.2593894,6.749077959530093e-31,9.396211371474988e-30
5,Mmp3,11.276721,1.1347666,1.710021734251357e-29,2.2600537564073003e-28
5,Ppia,10.883593,0.14194717,1.3801363685868011e-27,1.7085861725998383e-26
5,B3galt4,10.871378,0.15892617,1.5779983518981516e-27,1.9444180392117245e-26
5,Col5a3,10.4395685,1.141694,1.6355182900065587e-25,1.8824057920947422e-24
5,Plod2,10.3992405,0.98303974,2.4991669270006568e-25,2.8577371682866202e-24
5,Nupr1l1,10.190306,0.8364708,2.1907523549470068e-24,2.4237134487417904e-23
5,Ctsk,9.440548,1.1925752,3.70834985530497e-21,3.629302546063066e-20
5,Calr,9.348926,0.18123807,8.854292897117523e-21,8.546739761751467e-20
5,Lmna,9.058783,0.4159353,1.3191406414043555e-19,1.2208698661901835e-18
5,Rps2,8.933921,0.18193181,4.1117242236681407e-19,3.703181902084057e-18
5,Mt-nd3,8.862395,0.2555373,7.831313251298264e-19,6.978790542929086e-18
5,Mmp14,8.705458,0.7513889,3.1629506972561334e-18,2.758113902809642e-17
5,Mt3,8.690406,2.5064726,3.6114758995302535e-18,3.140155248994605e-17
5,Rps21,8.623981,0.032487184,6.466550070267258e-18,5.551769816424573e-17
5,Mt-atp6,8.610518,0.30091256,7.27307213756055e-18,6.234061832194756e-17
5,Cthrc1,8.294219,0.64541155,1.0930123988761428e-16,8.878623793947745e-16
6,LOC100359583,99.9294,3.04331,0.0,0.0
6,Hnrnpa2b1,88.09833,2.1587484,0.0,0.0
6,Cd79a,86.28228,4.5671754,0.0,0.0
6,Stmn1,86.195724,4.5793276,0.0,0.0
6,Rps11,85.22085,2.3237226,0.0,0.0
6,Cd24,83.31801,4.585005,0.0,0.0
6,Hmgb2,82.27777,3.7838323,0.0,0.0
6,Ezh2,78.11974,4.243403,0.0,0.0
6,Rps29,76.13715,1.5832702,0.0,0.0
6,AABR07035218.1,75.65949,3.2130842,0.0,0.0
6,Rpl18a,75.51935,1.8264115,0.0,0.0
6,Ppia,74.937454,2.0387979,0.0,0.0
6,Hmgb2l1,74.87334,3.6872952,0.0,0.0
6,Dut,74.12719,3.889861,0.0,0.0
6,Rpl28,73.296745,1.8775775,0.0,0.0
6,H2az1,73.12774,2.2670598,0.0,0.0
6,Ighm,73.04837,3.3642607,0.0,0.0
6,Tubb5,72.86941,2.6398423,0.0,0.0
6,Rps6-1,72.56047,1.9072727,0.0,0.0
6,Rplp1,72.52363,1.6014379,0.0,0.0
6,Rpl15,71.68322,1.8692356,0.0,0.0
6,H2az2,71.39144,2.8949275,0.0,0.0
6,Rpl23a,71.122765,1.7939657,0.0,0.0
6,Rps16,70.638954,1.6477574,0.0,0.0
6,Rps12,70.509674,1.6589262,0.0,0.0
6,Rps5,70.43798,1.8452126,0.0,0.0
6,Rpl19,69.18379,1.7021735,0.0,0.0
6,Rpl11,68.8815,1.7726893,0.0,0.0
6,Rpl27,68.7825,1.6704637,0.0,0.0
6,Rps27,68.76142,1.418543,0.0,0.0
6,Rplp2,68.42316,1.6296887,0.0,0.0
6,Rpl13a,67.46402,1.614437,0.0,0.0
6,B3galt4,67.061005,1.8439804,0.0,0.0
6,Rpl5,66.76771,1.8675438,0.0,0.0
6,Oaz1,66.52405,1.3615181,0.0,0.0
6,Rps24,66.43845,1.7347543,0.0,0.0
6,Tifa,66.28897,3.215101,0.0,0.0
